arrondissement;type_batiment;annee;volume_m3;surface_m2
16e;Résidentiel;2019;1888.0;608
15e;Résidentiel;2019;;1054
14e;Résidentiel;2023;1640.0;557
10e;Résidentiel;2024;1044.0;397
15e;Équipement public;2024;1694.0;560
4e;Résidentiel;2022;172.0;51
19e;Résidentiel;2020;1751.0;520
11e;Commercial;2020;156.0;59
19e;Commercial;2024;601.0;190
4e;Équipement public;2017;1838.0;647
10e;Bureau;2018;4116.0;1239
14e;Résidentiel;2023;594.0;225
10e;Résidentiel;2018;814.0;243
9e;Équipement public;2017;3496.0;1069
4e;Commercial;2020;1432.0;532
8e;Équipement public;2018;6438.0;2431
5e;Résidentiel;2023;1338.0;409
7e;Bureau;2024;3921.0;1439
14e;Commercial;2018;6231.0;2058
13e;Résidentiel;2020;1468.0;440
13e;Commercial;2024;996.0;326
8e;Commercial;2022;1861.0;638
20e;Résidentiel;2017;1306.0;442
2e;Résidentiel;2020;515.0;194
7e;Bureau;2021;2464.0;730
3e;Résidentiel;2021;797.0;280
7e;Résidentiel;2015;2558.0;930
20e;Résidentiel;2017;1372.0;485
8e;Résidentiel;2023;1099.0;326
19e;Équipement public;2017;1243.0;465
10e;Bureau;2017;3445.0;1046
14e;Résidentiel;2018;2063.0;652
10e;Équipement public;2016;665.0;204
6e;Bureau;2016;1421.0;420
16e;Résidentiel;2018;2902.0;886
20e;Bureau;2023;2208.0;658
6e;Résidentiel;2015;497.0;184
16e;Équipement public;2017;1827.0;564
6e;Commercial;2015;2779.0;915
15e;Commercial;2020;688.0;227
16e;Résidentiel;2017;1573.0;474
9e;Bureau;2022;4931.0;1460
15e;Résidentiel;2020;1741.0;550
6e;Résidentiel;2022;2085.0;698
2e;Résidentiel;2021;501.0;169
2e;Bureau;2019;3715.0;1277
9e;Résidentiel;2023;1084.0;375
19e;Équipement public;2019;955.0;328
3e;Commercial;2024;3695.0;1383
10e;Résidentiel;2024;;1417
15e;Résidentiel;2020;4703.0;1459
5e;Résidentiel;2021;3362.0;1137
15e;Commercial;2017;1861.0;556
7e;Bureau;2023;3772.0;1221
17e;Résidentiel;2021;2291.0;872
12e;Bureau;2024;3208.0;1177
11e;Résidentiel;2017;1468.0;531
4e;Bureau;2022;5245.0;1552
10e;Équipement public;2019;1285.0;463
18e;Bureau;2016;1769.0;587
1er;Commercial;2016;1503.0;449
16e;Bureau;2020;4593.0;1358
10e;Résidentiel;2018;1342.0;481
15e;Résidentiel;2016;1700.0;644
14e;Résidentiel;2019;2141.0;786
9e;Résidentiel;2021;1030.0;389
7e;Commercial;2018;3411.0;1238
13e;Commercial;2024;2619.0;857
3e;Bureau;2022;1242.0;373
12e;Résidentiel;2020;3676.0;1213
2e;Commercial;2024;1415.0;456
13e;Résidentiel;2019;420.0;152
13e;Résidentiel;2016;644.0;199
2e;Commercial;2015;983.0;318
16e;Équipement public;2024;1389.0;422
9e;Commercial;2024;1659.0;494
16e;Résidentiel;2022;1058.0;368
1er;Commercial;2016;3100.0;1160
4e;Résidentiel;2017;1699.0;611
10e;Bureau;2015;3676.0;1246
4e;Commercial;2015;2677.0;798
7e;Résidentiel;2017;2062.0;710
14e;Résidentiel;2020;306.0;95
3e;Résidentiel;2015;1038.0;342
14e;Équipement public;2024;291.0;106
3e;Résidentiel;2019;1374.0;481
4e;Bureau;2017;2937.0;941
12e;Commercial;2020;4177.0;1331
16e;Commercial;2022;4614.0;1565
4e;Résidentiel;2018;1544.0;555
6e;Équipement public;2015;944.0;297
19e;Résidentiel;2015;1881.0;688
20e;Commercial;2023;1388.0;414
12e;Commercial;2016;2007.0;730
9e;Commercial;2021;4007.0;1492
7e;Équipement public;2018;906.0;302
13e;Résidentiel;2022;2354.0;781
12e;Résidentiel;2015;2152.0;716
6e;Résidentiel;2023;687.0;233
1er;Résidentiel;2021;2648.0;780
4e;Résidentiel;2019;2184.0;731
20e;Résidentiel;2017;1438.0;482
9e;Résidentiel;2024;786.0;268
10e;Résidentiel;2018;734.0;277
10e;Résidentiel;2019;919.0;299
16e;Commercial;2018;2937.0;1056
2e;Commercial;2017;1029.0;331
2e;Résidentiel;2019;1819.0;689
6e;Résidentiel;2016;562.0;166
10e;Résidentiel;2015;1161.0;390
14e;Commercial;2017;2169.0;654
10e;Résidentiel;2016;7417.0;2489
9e;Résidentiel;2019;511.0;193
19e;Résidentiel;2023;3753.0;1152
4e;Résidentiel;2016;1488.0;477
12e;Résidentiel;2015;1786.0;554
11e;Commercial;2016;2183.0;742
10e;Commercial;2020;2743.0;882
17e;Commercial;2017;1804.0;549
6e;Commercial;2019;5560.0;1791
20e;Commercial;2015;1460.0;507
7e;Résidentiel;2018;2959.0;945
11e;Bureau;2019;1877.0;598
11e;Résidentiel;2019;1284.0;381
17e;Résidentiel;2020;632.0;218
9e;Commercial;2022;2763.0;940
6e;Résidentiel;2019;3683.0;1133
1er;Résidentiel;2023;1269.0;422
8e;Commercial;2020;1750.0;549
17e;Bureau;2017;1350.0;455
1er;Équipement public;2017;1141.0;412
18e;Résidentiel;2018;439.0;137
11e;Résidentiel;2020;707.0;261
3e;Bureau;2017;3454.0;1252
7e;Résidentiel;2024;3372.0;1087
12e;Bureau;2019;21055.0;6584
7e;Résidentiel;2023;888.0;268
3e;Résidentiel;2021;3658.0;1298
14e;Résidentiel;2018;1589.0;591
14e;Bureau;2017;2651.0;788
3e;Résidentiel;2022;1813.0;666
6e;Résidentiel;2018;1399.0;507
5e;Résidentiel;2017;1447.0;511
14e;Résidentiel;2024;1006.0;333
15e;Résidentiel;2019;503.0;152
15e;Commercial;2015;682.0;213
19e;Résidentiel;2019;2116.0;668
16e;Bureau;2019;2428.0;886
7e;Bureau;2023;1941.0;673
3e;Résidentiel;2022;1347.0;452
13e;Résidentiel;2016;2337.0;860
19e;Commercial;2016;2280.0;809
20e;Résidentiel;2021;846.0;297
5e;Résidentiel;2015;3160.0;1170
5e;Équipement public;2018;4046.0;1331
1er;Équipement public;2016;1894.0;599
3e;Bureau;2015;5826.0;2194
12e;Résidentiel;2024;3195.0;1070
11e;Commercial;2015;4432.0;1374
8e;Commercial;2015;3088.0;965
7e;Résidentiel;2024;2036.0;626
17e;Commercial;2016;2891.0;977
10e;Résidentiel;2023;621.0;191
17e;Résidentiel;2015;2187.0;783
20e;Résidentiel;2016;518.0;179
7e;Résidentiel;2016;768.0;280
5e;Résidentiel;2022;3336.0;1122
20e;Bureau;2021;5306.0;1821
13e;Équipement public;2019;3794.0;1359
6e;Commercial;2017;1661.0;519
13e;Bureau;2015;1315.0;461
11e;Équipement public;2020;1132.0;402
19e;Résidentiel;2017;1439.0;532
6e;Résidentiel;2020;1416.0;480
20e;Résidentiel;2021;2962.0;1042
19e;Résidentiel;2023;1040.0;359
4e;Bureau;2019;3770.0;1352
4e;Résidentiel;2015;670.0;209
11e;Résidentiel;2017;1836.0;549
1er;Résidentiel;2023;1342.0;448
6e;Résidentiel;2020;792.0;254
9e;Équipement public;2021;1136.0;345
20e;Résidentiel;2019;1177.0;346
20e;Résidentiel;2016;1109.0;359
4e;Résidentiel;2023;4628.0;1397
18e;Résidentiel;2022;1250.0;376
2e;Commercial;2024;1694.0;524
15e;Résidentiel;2023;309.0;104
17e;Résidentiel;2017;716.0;269
18e;Résidentiel;2017;1114.0;426
5e;Bureau;2017;1823.0;611
18e;Commercial;2024;5285.0;1764
3e;Commercial;2020;1790.0;612
11e;Commercial;2019;4951.0;1621
10e;Bureau;2024;3077.0;1012
7e;Résidentiel;2021;1375.0;421
1er;Résidentiel;2024;1259.0;469
16e;Résidentiel;2024;1343.0;483
7e;Résidentiel;2015;4461.0;1379
14e;Bureau;2018;581.0;177
9e;Résidentiel;2022;330.0;97
8e;Bureau;2023;2015.0;611
18e;Bureau;2016;2977.0;899
2e;Résidentiel;2018;2171.0;761
15e;Équipement public;2020;1865.0;638
15e;Commercial;2022;1535.0;545
8e;Bureau;2016;6014.0;1949
6e;Résidentiel;2021;2755.0;822
1er;Résidentiel;2017;;530
19e;Résidentiel;2017;2628.0;863
19e;Résidentiel;2020;1621.0;571
5e;Résidentiel;2019;904.0;330
1er;Équipement public;2021;2183.0;792
3e;Commercial;2018;2171.0;820
2e;Résidentiel;2023;1341.0;399
17e;Résidentiel;2015;3756.0;1285
18e;Résidentiel;2023;241.0;74
4e;Résidentiel;2015;497.0;158
15e;Équipement public;2022;584.0;212
4e;Résidentiel;2018;1039.0;379
8e;Résidentiel;2018;1121.0;345
12e;Commercial;2015;;249
15e;Résidentiel;2022;672.0;202
18e;Résidentiel;2016;733.0;270
1er;Commercial;2021;11222.0;3571
4e;Commercial;2022;7092.0;2181
6e;Équipement public;2023;1004.0;360
7e;Commercial;2022;1558.0;552
